                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.93948,                 1.0073,                0.76593,                 1.0929,                0.98809,                      1,                  0.995,                0.76577,                0.98809,                      1,                  0.995,                0.86137,                0.90921,                0.86469,                0.77341,                 1.2364,              0.0018383,              0.0018383,              0.0018383
                     52,                0.88343,                0.91595,                 0.7654,                 1.0872,                0.97887,                      1,                  0.995,                0.74628,                0.97887,                      1,                  0.995,                0.85068,                0.79334,                0.88884,                0.72421,                 1.1186,               0.001835,               0.001835,               0.001835
                     53,                0.84994,                 1.0015,                 0.7472,                 1.0418,                0.88202,                0.99702,                0.96994,                 0.6546,                0.97602,                      1,                  0.995,                0.84943,                0.94842,                0.84433,                0.90283,                 1.2614,              0.0018317,              0.0018317,              0.0018317
                     54,                0.82979,                0.94784,                0.77642,                 1.0477,                0.87408,                      1,                0.97042,                0.62993,                0.87408,                      1,                0.97971,                0.81975,                  1.049,                0.88132,                0.93504,                 1.2865,              0.0018284,              0.0018284,              0.0018284
                     55,                0.82586,                0.89949,                0.68505,                 1.0547,                0.98364,                      1,                  0.995,                0.58367,                0.98364,                      1,                  0.995,                0.83451,                  1.498,                0.82253,                0.82821,                  1.734,              0.0018251,              0.0018251,              0.0018251
                     56,                0.81888,                0.88166,                 0.6746,                 1.0434,                      1,                0.97816,                  0.995,                0.60844,                      1,                0.97816,                  0.995,                 0.8427,                 1.4664,                0.79442,                0.80972,                 1.7631,              0.0018218,              0.0018218,              0.0018218
                     57,                0.84833,                 1.0596,                0.69978,                 1.0761,                0.93296,                      1,                0.99125,                0.64744,                0.93296,                      1,                0.99125,                 0.8105,                 0.9855,                0.89687,                 1.0208,                 1.3821,              0.0018185,              0.0018185,              0.0018185
                     58,                0.94962,                0.94972,                0.74079,                 1.0943,                0.91887,                      1,                0.98688,                0.64885,                0.91887,                      1,                0.98688,                 0.8391,                0.96701,                0.91153,                 1.1239,                 1.3581,              0.0018152,              0.0018152,              0.0018152
                     59,                0.85201,                0.85897,                0.70497,                 1.0578,                0.99065,                      1,                  0.995,                0.69513,                0.99065,                      1,                  0.995,                0.85697,                0.94149,                0.88803,                0.89379,                 1.2164,              0.0018119,              0.0018119,              0.0018119
                     60,                0.90306,                0.93313,                0.70518,                 1.0551,                0.97976,                      1,                  0.995,                0.75822,                0.97976,                      1,                  0.995,                0.85071,                0.86491,                0.91674,                0.83165,                 1.1759,              0.0018086,              0.0018086,              0.0018086
                     61,                0.85825,                0.94821,                0.68109,                 1.0938,                0.99075,                      1,                  0.995,                0.59203,                0.99075,                      1,                  0.995,                0.83049,                 1.2202,                0.81434,                0.89309,                 1.4123,              0.0018053,              0.0018053,              0.0018053
                     62,                0.82044,                 0.9477,                0.65962,                 1.0696,                0.98869,                      1,                  0.995,                0.61711,                0.98869,                      1,                  0.995,                0.83949,                 1.2099,                0.77412,                0.83874,                 1.4749,               0.001802,               0.001802,               0.001802
                     63,                 0.8398,                0.89908,                0.66834,                 1.0428,                0.99033,                      1,                  0.995,                0.73099,                0.99033,                      1,                  0.995,                0.85154,                  1.095,                0.89828,                0.75782,                  1.485,              0.0017987,              0.0017987,              0.0017987
                     64,                0.80536,                 0.9956,                0.66869,                  1.043,                0.99385,                      1,                  0.995,                 0.7701,                0.99385,                      1,                  0.995,                0.86762,                0.97857,                0.79153,                0.75668,                 1.3605,              0.0017954,              0.0017954,              0.0017954
                     65,                 0.7809,                0.92868,                0.64786,                0.99792,                0.90447,                0.93333,                0.97861,                0.63175,                0.90447,                0.93333,                0.97861,                 0.8166,                 1.2745,                  0.885,                 0.9156,                 1.5803,              0.0017921,              0.0017921,              0.0017921
                     66,                 0.8379,                0.96205,                0.68675,                 1.0755,                0.87957,                      1,                   0.97,                 0.6072,                0.87957,                      1,                   0.97,                0.76278,                 1.2517,                0.94852,                0.85768,                 1.5958,              0.0017888,              0.0017888,              0.0017888
                     67,                 0.8279,                0.98436,                0.65152,                 1.0479,                0.97888,                      1,                  0.995,                0.71886,                0.97888,                      1,                  0.995,                0.84535,                0.88995,                0.85866,                0.77334,                 1.1857,              0.0017855,              0.0017855,              0.0017855
                     68,                0.74763,                0.84669,                0.61917,                 1.0419,                0.99048,                      1,                  0.995,                0.75579,                0.99048,                      1,                  0.995,                0.86258,                 0.8185,                0.79234,                0.72762,                 1.1427,              0.0017822,              0.0017822,              0.0017822
                     69,                0.80591,                0.92228,                0.64396,                 1.0381,                0.99065,                      1,                  0.995,                0.80618,                0.99065,                      1,                  0.995,                0.83785,                 0.7966,                0.89095,                0.71176,                  1.115,              0.0017789,              0.0017789,              0.0017789
                     70,                0.85082,                0.91817,                0.67821,                 1.0833,                0.99075,                      1,                  0.995,                0.77897,                0.99075,                      1,                  0.995,                 0.8102,                0.83905,                0.91224,                0.73968,                 1.1194,              0.0017756,              0.0017756,              0.0017756
                     71,                0.81833,                0.91414,                0.64986,                 1.0454,                0.98944,                      1,                  0.995,                0.82848,                0.98944,                      1,                  0.995,                0.86642,                 0.6922,                0.79389,                0.69798,                 1.0888,              0.0017723,              0.0017723,              0.0017723
                     72,                0.79394,                0.93969,                0.60899,                 1.0331,                0.98049,                      1,                  0.995,                0.83994,                0.98049,                      1,                  0.995,                0.85718,                 0.6527,                0.78673,                0.68898,                 1.0688,               0.001769,               0.001769,               0.001769
                     73,                0.72268,                0.86906,                0.55919,                 1.0105,                      1,                0.91421,                0.98794,                0.81198,                      1,                0.91421,                0.98794,                0.85936,                0.76499,                0.81859,                0.77616,                 1.1308,              0.0017657,              0.0017657,              0.0017657
                     74,                0.88555,                 1.0687,                0.62021,                 1.0795,                 0.8806,                0.98407,                0.98327,                0.74789,                 0.8806,                0.98407,                0.98327,                0.83752,                0.87308,                0.92967,                0.78591,                 1.1711,              0.0017624,              0.0017624,              0.0017624
