                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                  2.246,                 1.6033,                 2.2587,                 2.6471,                0.13771,                0.47059,                0.13478,                0.03389,                0.20656,                0.70588,                0.21947,                  0.096,                 2.9341,                 1.0306,                 4.8749,                 3.2995,               0.001835,               0.001835,               0.001835
                     53,                  2.334,                 1.7472,                  2.265,                 2.7088,                0.31433,                0.41176,                 0.3816,                0.11109,                0.40487,                0.76046,                0.55395,                0.26533,                 2.8747,                  1.174,                 3.7402,                  3.194,              0.0018317,              0.0018317,              0.0018317
                     54,                 2.2717,                  1.644,                 2.2346,                 2.6085,                0.37852,                0.70588,                0.58806,                0.21814,                0.37852,                0.70588,                0.58806,                0.29045,                 2.6519,                 2.4817,                 3.4952,                 2.9737,              0.0018284,              0.0018284,              0.0018284
                     55,                 2.2649,                 1.6687,                 2.0816,                 2.5641,                0.76014,                0.56042,                0.63175,                0.28823,                0.76014,                0.56042,                0.63175,                0.33298,                 2.4203,                 1.9268,                 2.9282,                 2.7967,              0.0018251,              0.0018251,              0.0018251
                     56,                 2.2795,                 1.4165,                 2.1215,                 2.6785,                0.57515,                0.64706,                0.72216,                0.28298,                0.57515,                0.64706,                0.73206,                0.43509,                 2.4572,                 1.4008,                 2.5544,                 2.8757,              0.0018218,              0.0018218,              0.0018218
                     57,                 2.2704,                 1.6523,                 2.1557,                 2.6613,                0.76277,                0.76471,                0.84644,                0.28738,                0.75977,                0.76471,                0.85798,                0.54633,                 2.5697,                  1.139,                 3.2368,                  2.951,              0.0018185,              0.0018185,              0.0018185
                     58,                 2.2387,                 1.3786,                 2.0244,                 2.6344,                0.66906,                0.88235,                 0.7101,                0.21993,                0.79881,                0.93452,                0.91211,                0.47231,                 2.6963,                 1.1703,                 4.3171,                 3.0727,              0.0018152,              0.0018152,              0.0018152
                     59,                 2.2121,                 1.5795,                 2.1271,                  2.619,                0.66906,                0.88235,                 0.7101,                0.21993,                0.79881,                0.93452,                0.91211,                0.47231,                 2.6963,                 1.1703,                 4.3171,                 3.0727,              0.0018119,              0.0018119,              0.0018119
                     60,                 2.1993,                 1.6243,                 2.4159,                 2.6266,                0.44749,                0.94118,                0.47983,                0.14524,                0.54435,                0.70588,                0.67334,                 0.3234,                  2.731,                 1.3933,                 6.5186,                 3.0655,              0.0018086,              0.0018086,              0.0018086
                     61,                 2.2948,                 1.6245,                 2.1872,                 2.6845,                0.41567,                0.76471,                0.45742,                0.14686,                0.61891,                0.86037,                 0.7284,                0.32143,                 2.6974,                 1.3397,                 5.4077,                 3.0243,              0.0018053,              0.0018053,              0.0018053
                     62,                  2.147,                 1.4715,                 2.0157,                 2.6253,                0.38497,                0.58824,                0.40266,                0.12682,                0.70308,                0.83623,                0.78507,                0.31473,                 2.6906,                 1.2865,                 4.7197,                  3.066,               0.001802,               0.001802,               0.001802
                     63,                 2.1928,                 1.4708,                 2.0316,                 2.6324,                0.30179,                0.40701,                0.31494,                0.12102,                0.48514,                0.82353,                0.65121,                 0.2267,                 2.6886,                 2.0128,                 3.3608,                 3.0081,              0.0017987,              0.0017987,              0.0017987
