                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.5659,                 1.5475,                 1.0895,                 1.7194,                 0.6521,                    0.5,                  0.745,                0.50057,                0.65088,                      1,                0.82833,                0.60504,                 1.5312,                0.98232,                 2.6446,                 1.5197,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.3365,                 1.5087,                 1.0786,                  1.488,                0.87797,                    0.5,                  0.695,                0.47925,                0.87797,                    0.5,                  0.695,                0.49801,                 1.6625,                0.93273,                 2.2544,                 1.6642,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.6903,                 1.5807,                 1.2098,                 1.9056,                0.87797,                    0.5,                  0.695,                0.47925,                0.87797,                    0.5,                  0.695,                0.49801,                 1.6625,                0.93273,                 2.2544,                 1.6642,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.4868,                 1.4258,                 1.1676,                 1.7393,                      1,                0.90359,                  0.995,                0.64739,                      1,                0.90359,                  0.995,                0.74835,                 1.4415,                0.95317,                 1.4147,                 1.3971,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.7953,                 1.5336,                 1.1689,                 1.9569,                      1,                0.90359,                  0.995,                0.64739,                      1,                0.90359,                  0.995,                0.74835,                 1.4415,                0.95317,                 1.4147,                 1.3971,               0.001868,               0.001868,               0.001868
                     43,                  1.701,                 1.5048,                 1.1347,                 1.8095,                      1,                0.90359,                  0.995,                0.64739,                      1,                0.90359,                  0.995,                0.74835,                 1.4415,                0.95317,                 1.4147,                 1.3971,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.8086,                 1.7732,                 1.2297,                 1.9178,                0.65922,                      1,                0.82833,                0.56399,                0.65922,                      1,                0.82833,                0.59677,                  1.449,                0.94277,                 1.3574,                 1.3762,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.7703,                 1.5828,                 1.3161,                 1.8882,                0.65922,                      1,                0.82833,                0.56399,                0.65922,                      1,                0.82833,                0.59677,                  1.449,                0.94277,                 1.3574,                 1.3762,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.6139,                 1.5599,                 1.1041,                  1.617,                0.65922,                      1,                0.82833,                0.56399,                0.65922,                      1,                0.82833,                0.59677,                  1.449,                0.94277,                 1.3574,                 1.3762,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.7043,                 1.6827,                 1.0909,                 1.7161,                0.91055,                    0.5,                  0.695,                0.46687,                0.91055,                    0.5,                  0.695,                0.47649,                 1.5027,                 1.0264,                 1.3437,                 1.3737,              0.0018515,              0.0018515,              0.0018515
