                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4081,                0.96322,                 1.0954,                0.95337,                      1,                  0.995,                0.59693,                 1.3897,                   1.12,                 1.2367,              0.0018317,              0.0018317,              0.0018317
                     54,                  1.553,                 1.1399,                 1.2672,                0.95337,                      1,                  0.995,                0.59693,                 1.3897,                   1.12,                 1.2367,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.4817,                 1.0955,                 1.1422,                 0.9433,                      1,                  0.995,                0.69643,                  1.324,                 1.1478,                 1.1843,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.2565,                 1.0829,                 1.1183,                 0.9433,                      1,                  0.995,                0.69643,                  1.324,                 1.1478,                 1.1843,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.5283,                 1.1449,                 1.2739,                0.91979,                      1,                  0.995,                0.64671,                  1.441,                 1.1137,                 1.1912,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.3293,                 1.0225,                 1.0921,                0.91979,                      1,                  0.995,                0.64671,                  1.441,                 1.1137,                 1.1912,              0.0018152,              0.0018152,              0.0018152
                     59,                 1.3855,                 1.0803,                 1.1592,                0.91979,                      1,                  0.995,                0.64671,                  1.441,                 1.1137,                 1.1912,              0.0018119,              0.0018119,              0.0018119
                     60,                 1.3857,                 1.0098,                 1.1617,                  0.947,                      1,                  0.995,                0.64696,                 1.4363,                0.99043,                 1.2077,              0.0018086,              0.0018086,              0.0018086
                     61,                 1.5526,                 1.1448,                 1.1818,                  0.947,                      1,                  0.995,                0.64696,                 1.4363,                0.99043,                 1.2077,              0.0018053,              0.0018053,              0.0018053
                     62,                 1.4984,                 1.0216,                 1.1457,                  0.947,                      1,                  0.995,                0.64696,                 1.4363,                0.99043,                 1.2077,               0.001802,               0.001802,               0.001802
                     63,                 1.3667,                0.99176,                  1.138,                0.95725,                      1,                  0.995,                0.66862,                   1.54,                0.95403,                 1.1681,              0.0017987,              0.0017987,              0.0017987
                     64,                  1.458,                 1.0043,                 1.1298,                0.95725,                      1,                  0.995,                0.66862,                   1.54,                0.95403,                 1.1681,              0.0017954,              0.0017954,              0.0017954
                     65,                  1.363,                 1.0057,                 1.0982,                0.96858,                      1,                  0.995,                0.64744,                 1.4872,                0.89003,                0.95099,              0.0017921,              0.0017921,              0.0017921
                     66,                 1.2625,                0.90354,                 1.0574,                0.96858,                      1,                  0.995,                0.64744,                 1.4872,                0.89003,                0.95099,              0.0017888,              0.0017888,              0.0017888
                     67,                 1.5077,                 1.0132,                 1.1306,                0.96858,                      1,                  0.995,                0.64744,                 1.4872,                0.89003,                0.95099,              0.0017855,              0.0017855,              0.0017855
                     68,                 1.2954,                 1.0041,                 1.0589,                  0.959,                      1,                  0.995,                 0.5477,                 1.6086,                0.92209,                0.89418,              0.0017822,              0.0017822,              0.0017822
                     69,                 1.2855,                0.95951,                 1.1311,                  0.959,                      1,                  0.995,                 0.5477,                 1.6086,                0.92209,                0.89418,              0.0017789,              0.0017789,              0.0017789
                     70,                 1.3863,                0.99564,                 1.1137,                  0.959,                      1,                  0.995,                 0.5477,                 1.6086,                0.92209,                0.89418,              0.0017756,              0.0017756,              0.0017756
                     71,                 1.4123,                 1.0542,                 1.0989,                0.93923,                      1,                  0.995,                0.49759,                 1.8587,                 0.9981,                 1.1409,              0.0017723,              0.0017723,              0.0017723
                     72,                 1.5103,                 1.0295,                 1.1428,                0.93923,                      1,                  0.995,                0.49759,                 1.8587,                 0.9981,                 1.1409,               0.001769,               0.001769,               0.001769
                     73,                 1.3258,                0.89572,                 1.0296,                0.92618,                      1,                  0.995,                0.54712,                 1.9188,                  1.028,                 1.2635,              0.0017657,              0.0017657,              0.0017657
