                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.62607,                0.83269,                0.59483,                  1.057,                0.97929,                      1,                  0.995,                0.75171,                0.97929,                      1,                  0.995,                0.87744,                 1.2613,                0.76928,                0.83017,                 1.6039,               0.001535,               0.001535,               0.001535
                     51,                0.63367,                0.94061,                0.61128,                 1.0791,                0.95561,                0.97059,                0.99361,                0.78196,                0.95561,                0.97059,                0.99361,                 0.8028,                 1.0995,                0.94859,                0.85077,                 1.3563,              0.0015322,              0.0015322,              0.0015322
                     52,                0.63508,                0.77657,                0.63402,                 1.0617,                0.96471,                0.97059,                0.99361,                0.77876,                0.96471,                0.97059,                0.99361,                0.87586,                 1.0041,                 0.8248,                0.80856,                 1.2975,              0.0015295,              0.0015295,              0.0015295
                     53,                0.65988,                0.91775,                0.62746,                 1.1006,                0.97652,                0.98055,                  0.995,                 0.7923,                0.97652,                0.98055,                  0.995,                0.87207,                 1.1159,                 1.1541,                0.90164,                 1.3147,              0.0015267,              0.0015267,              0.0015267
                     54,                0.66706,                0.83612,                0.64132,                 1.0854,                 0.9827,                0.97059,                0.99125,                0.79932,                 0.9827,                0.97059,                0.99125,                 0.8804,                 1.0517,                  1.296,                0.90732,                 1.2142,               0.001524,               0.001524,               0.001524
                     55,                0.65687,                0.84532,                0.61691,                 1.0511,                0.98986,                 0.9911,                  0.995,                0.81421,                0.98986,                 0.9911,                  0.995,                 0.9002,                 0.9745,                 1.0657,                0.79475,                  1.163,              0.0015212,              0.0015212,              0.0015212
                     56,                 0.6355,                0.81115,                0.61561,                  1.058,                0.98852,                      1,                  0.995,                0.85815,                0.98852,                      1,                  0.995,                0.90449,                0.78095,                 0.9208,                0.71937,                  1.105,              0.0015185,              0.0015185,              0.0015185
                     57,                0.63125,                0.76527,                0.59302,                 1.0727,                0.98981,                      1,                  0.995,                 0.8685,                0.98981,                      1,                  0.995,                0.89753,                 0.7556,                 0.8083,                0.75798,                 1.0985,              0.0015157,              0.0015157,              0.0015157
                     58,                0.60354,                0.76683,                0.57914,                 1.0491,                0.96292,                0.99475,                0.99194,                0.83514,                0.96292,                0.99475,                0.99194,                0.90122,                0.86717,                0.87927,                0.70569,                 1.1466,               0.001513,               0.001513,               0.001513
                     59,                0.59162,                0.85527,                0.57521,                 1.0282,                0.97932,                0.99727,                  0.995,                0.80474,                0.97932,                0.99727,                  0.995,                0.91639,                0.84757,                0.74153,                0.78975,                 1.2559,              0.0015102,              0.0015102,              0.0015102
                     60,                0.61908,                 0.7654,                0.55441,                 1.0591,                0.96905,                0.97059,                0.99237,                0.79323,                0.96905,                0.97059,                0.99237,                  0.886,                 0.8809,                0.76361,                0.82541,                 1.2699,              0.0015075,              0.0015075,              0.0015075
                     61,                0.64031,                0.73616,                0.59149,                 1.0851,                0.97601,                0.97059,                0.98932,                0.83423,                0.97601,                0.97059,                0.98932,                0.90354,                0.97915,                0.73317,                0.85057,                  1.341,              0.0015047,              0.0015047,              0.0015047
                     62,                0.61659,                0.79302,                0.55276,                 1.0624,                 0.9588,                0.97059,                0.98932,                0.80543,                 0.9588,                0.97059,                0.98932,                0.88458,                0.99473,                0.69835,                0.85982,                 1.3406,               0.001502,               0.001502,               0.001502
                     63,                0.64267,                0.86106,                0.59515,                 1.0737,                0.95582,                0.96434,                0.98949,                0.72183,                0.95582,                0.96434,                0.98949,                0.84561,                  1.175,                0.74073,                0.81026,                 1.4481,              0.0014992,              0.0014992,              0.0014992
                     64,                0.63811,                0.86646,                0.58262,                 1.0497,                0.98264,                0.99759,                  0.995,                0.72964,                0.98264,                0.99759,                  0.995,                0.85643,                 1.2146,                0.65187,                0.73859,                 1.4963,              0.0014965,              0.0014965,              0.0014965
                     65,                0.58107,                0.71718,                0.53241,                 1.0311,                0.99013,                0.99535,                  0.995,                0.75421,                0.99013,                0.99535,                  0.995,                0.85875,                 1.2466,                0.72636,                0.72234,                 1.4525,              0.0014937,              0.0014937,              0.0014937
                     66,                0.66126,                0.78153,                0.59096,                 1.0598,                0.98734,                0.99749,                  0.995,                0.78099,                0.98734,                0.99749,                  0.995,                 0.8773,                 1.1449,                0.80718,                0.67283,                   1.38,               0.001491,               0.001491,               0.001491
                     67,                0.63098,                0.80261,                0.56696,                 1.0525,                0.98902,                0.99847,                  0.995,                0.81611,                0.98902,                0.99847,                  0.995,                0.90563,                0.99038,                0.82534,                0.67297,                 1.3444,              0.0014882,              0.0014882,              0.0014882
                     68,                0.59345,                0.76596,                0.55003,                 1.0481,                0.99412,                0.99932,                  0.995,                0.83908,                0.99412,                0.99932,                  0.995,                0.90813,                 1.0461,                0.77317,                0.64713,                 1.3421,              0.0014855,              0.0014855,              0.0014855
                     69,                0.60457,                0.80693,                 0.5392,                 1.0355,                0.99258,                      1,                  0.995,                0.79795,                0.99258,                      1,                  0.995,                0.89785,                0.92956,                0.74233,                 0.5981,                 1.2046,              0.0014827,              0.0014827,              0.0014827
                     70,                0.56894,                0.74593,                0.52696,                 1.0366,                0.98618,                      1,                  0.995,                 0.7715,                0.98618,                      1,                  0.995,                0.90148,                0.97174,                0.75688,                0.65383,                 1.1976,                0.00148,                0.00148,                0.00148
                     71,                0.59964,                0.80524,                0.51998,                 1.0406,                0.97406,                      1,                  0.995,                0.78819,                0.97406,                      1,                  0.995,                0.91745,                0.92959,                0.69701,                0.66564,                 1.2556,              0.0014772,              0.0014772,              0.0014772
                     72,                0.60241,                0.78506,                0.54539,                 1.0491,                0.98457,                      1,                  0.995,                0.79495,                0.98457,                      1,                  0.995,                0.91555,                 0.8733,                0.66507,                0.64213,                 1.2382,              0.0014745,              0.0014745,              0.0014745
                     73,                0.60792,                0.83497,                0.54037,                 1.0336,                0.99296,                0.99627,                  0.995,                0.81793,                0.99296,                0.99627,                  0.995,                0.91127,                 1.0026,                0.66955,                0.62608,                 1.2404,              0.0014717,              0.0014717,              0.0014717
                     74,                0.60489,                0.83189,                0.53896,                 1.0528,                0.99285,                0.99444,                  0.995,                 0.8235,                0.99285,                0.99444,                  0.995,                0.90684,                 1.0521,                0.65651,                0.69243,                  1.292,               0.001469,               0.001469,               0.001469
